Moisture,pH,EC,N,P,K,Soil_Type,N_Class,P_Class,K_Class,Soil_Temperature
37.94,6.65,2.43,77.56,35.39,88.56,Clay,High,Medium,High,28.95
28.83,6.88,1.77,45.93,24.69,67.11,Loamy,Medium,Low,High,32.53
22.93,5.53,2.06,62.52,41.91,62.58,Loamy,Medium,Medium,Medium,28.62
37.99,6.07,1.79,53.38,49.28,43.04,Loamy,Medium,Medium,Medium,31.45
62.08,5.28,2.08,54.7,35.85,52.03,Peaty,Medium,Medium,Medium,21.26
71.15,7.25,2.42,75.47,40.71,49.82,Peaty,High,Medium,Medium,28.46
63.91,7.75,1.75,28.71,39.73,32.46,Peaty,Low,Medium,Low,24.71
10.41,7.48,1.59,68.24,42.7,40.71,Sandy,Medium,Medium,Medium,37.05
36.61,7.61,1.75,41.42,37.4,35.12,Loamy,Medium,Medium,Medium,25.99
45.24,7.53,1.59,26.66,55.82,33.27,Silty,Low,High,Low,32.6
31.37,6.56,2.17,32.81,65.14,89.57,Silty,Low,High,High,30.46
18.14,5.84,1.9,81.11,16.51,53.37,Sandy,High,Low,Medium,27.72
28.5,7.78,1.65,87.33,31.44,18.27,Loamy,High,Medium,Low,24.46
59.22,6.67,1.44,20.33,48.28,19.32,Peaty,Low,Medium,Low,21.11
11.02,6.2,1.5,39.27,30.61,53.48,Sandy,Low,Medium,Medium,30.53
21.53,5.97,2.24,72.93,60.79,56.49,Loamy,High,High,Medium,26.35
51.09,6.06,1.95,33.69,59.75,40.4,Peaty,Low,High,Medium,22.11
18.07,7.97,1.75,92.43,22.46,36.94,Loamy,High,Low,Medium,23.69
44.56,5.77,2.24,65.15,58.42,44.58,Loamy,Medium,High,Medium,25.66
35.88,7.96,1.52,47.95,59.57,19.91,Clay,Medium,High,Low,30.25
26.23,5.6,1.34,22.2,59.04,33.14,Sandy,Low,High,Low,33.38
38.35,7.23,1.84,23.89,52.52,77.94,Loamy,Low,High,High,24.08
33.6,5.92,2.08,73.22,16.68,64.87,Silty,High,Low,Medium,32.84
16.07,5.54,1.49,23.84,46.28,34.94,Sandy,Low,Medium,Low,31.61
58.52,6.01,2.71,94.21,55.04,58.05,Clay,High,High,Medium,25.44
53.93,5.62,2.13,69.31,65.47,20.97,Clay,Medium,High,Low,25.25
44.28,5.6,2.2,84.93,38.08,75.6,Peaty,High,Medium,High,29.37
56.19,6.7,1.9,53.91,27.29,34.8,Peaty,Medium,Medium,Low,28.58
50.73,6.4,2.45,73.89,33.49,67.66,Clay,High,Medium,High,31.28
19.8,6.96,2.12,99.69,56.16,58.03,Loamy,High,High,Medium,30.66
26.47,7.38,1.96,61.5,35.55,74.11,Silty,Medium,Medium,High,29.23
58.23,6.81,2.25,72.42,54.86,55.17,Clay,High,High,Medium,25.17
48.28,7.75,2.11,93.47,15.48,49.77,Peaty,High,Low,Medium,27.87
43.34,5.71,2.04,84.62,63.7,18.24,Peaty,High,High,Low,22.44
18.56,6.66,1.43,29.38,57.08,47.59,Sandy,Low,High,Medium,34.84
38.86,7.89,2.07,47.35,57.94,74.91,Silty,Medium,High,High,24.99
37.32,6.23,2.21,35.28,68.05,63.81,Loamy,Low,High,Medium,26.67
40.06,5.2,1.98,99.44,24.19,43.07,Silty,High,Low,Medium,23.75
