Moisture,EC,Soil_Temperature,N,P,K,Soil_Type,N_Class,P_Class,K_Class
63.94,2.23,18.85,92.17,62.46,83.06,Peaty,High,High,High
18.03,0.98,22.27,44.35,35.15,42.37,Silty,Medium,Medium,Medium
61.19,1.92,29.81,70.98,48.14,73.31,Sandy,High,Medium,High
37.07,2.16,38.57,56.42,60.14,56.05,Silty,Medium,High,High
38.81,2.21,36.37,70.86,65.76,54.66,Silty,High,High,Medium
14.34,1.13,36.54,58.47,60.18,59.16,Loamy,Medium,High,High
10.64,2.73,24.67,77.43,54.79,74.11,Sandy,High,Medium,High
55.96,0.58,27.45,44.83,40.46,53.54,Sandy,Medium,Medium,Medium
39.75,1.56,28.36,59.76,53.14,74.14,Sandy,Medium,Medium,High
35.58,2.84,21.46,64.01,62.03,76.54,Silty,Medium,High,High
56.07,2.19,18.68,88.67,59.47,74.64,Peaty,High,High,High
58.59,1.28,38.83,58.83,64.82,70.19,Sandy,Medium,High,High
16.12,2.58,23.3,76.26,45.95,67.47,Silty,High,Medium,High
47.72,2.2,23.28,76.0,53.27,79.22,Loamy,High,Medium,High
14.47,2.89,19.83,89.94,66.29,80.94,Peaty,High,High,High
57.6,2.71,38.43,100.0,56.97,79.99,Loamy,High,High,High
50.99,2.33,30.75,82.63,57.61,81.19,Peaty,High,High,High
71.96,1.96,32.67,78.76,53.98,87.94,Silty,High,Medium,High
9.83,0.9,38.05,54.04,39.3,67.76,Clay,Medium,Medium,High
8.99,1.28,25.6,61.89,46.47,52.72,Peaty,Medium,Medium,Medium
24.75,1.76,31.67,63.43,61.98,85.55,Loamy,Medium,High,High
23.32,2.3,18.85,78.64,52.67,71.72,Silty,High,Medium,High
22.29,2.04,22.11,77.3,59.89,72.09,Peaty,High,High,High
68.44,1.36,36.29,69.53,70.93,73.23,Clay,High,High,High
22.47,0.52,34.87,51.99,46.55,61.31,Clay,Medium,Medium,High
24.04,1.99,25.71,66.47,72.18,63.88,Sandy,High,High,High
58.16,1.36,26.29,68.63,48.24,60.81,Sandy,High,Medium,High
36.48,2.7,29.74,97.57,61.47,81.11,Loamy,High,High,High
59.37,0.57,18.01,62.1,40.85,62.98,Peaty,Medium,Medium,High
9.58,2.25,23.31,68.65,58.2,76.05,Peaty,High,High,High
39.13,3.32,22.58,90.05,58.48,79.91,Sandy,High,High,High
7.35,1.02,23.51,69.49,44.64,44.18,Peaty,High,Medium,Medium
9.39,1.91,35.73,59.48,54.21,68.36,Peaty,Medium,Medium,High
68.45,0.77,24.15,65.35,51.31,59.56,Clay,High,Medium,High
14.75,2.38,22.21,74.43,52.57,62.46,Sandy,High,Medium,High
42.27,2.15,29.09,73.9,52.68,68.94,Silty,High,Medium,High
33.78,1.72,37.04,58.29,51.1,55.95,Sandy,Medium,Medium,High
29.31,2.06,23.31,71.99,60.69,54.5,Silty,High,High,Medium
67.99,3.19,19.73,100.0,65.61,94.99,Clay,High,High,High
6.53,1.09,25.84,60.47,50.3,57.49,Loamy,Medium,Medium,High
51.47,0.57,34.45,56.69,44.18,57.81,Peaty,Medium,Medium,High
72.44,3.08,30.12,100.0,67.85,95.0,Clay,High,High,High
44.21,2.23,35.97,78.33,52.41,72.59,Peaty,High,Medium,High
70.58,3.17,39.11,100.0,75.0,95.0,Loamy,High,High,High
8.66,2.29,35.44,88.68,70.02,83.26,Loamy,High,High,High
34.32,2.93,31.28,88.84,70.96,85.05,Clay,High,High,High
23.21,1.79,28.85,65.91,72.26,82.12,Loamy,High,High,High
56.16,2.75,18.88,88.5,64.61,77.64,Silty,High,High,High
73.69,3.24,39.66,93.15,73.37,89.92,Loamy,High,High,High
22.96,2.22,26.44,70.19,59.26,78.07,Peaty,High,High,High
50.79,1.04,21.35,55.06,60.74,60.39,Peaty,Medium,High,High
18.87,1.31,32.67,60.6,44.74,68.99,Peaty,Medium,Medium,High
44.57,1.1,24.25,66.16,41.11,64.31,Peaty,High,Medium,High
37.48,1.24,30.89,55.59,53.39,56.1,Silty,Medium,Medium,High
73.04,1.42,30.91,73.98,50.14,75.14,Sandy,High,Medium,High
47.6,2.17,27.81,94.31,43.29,75.45,Clay,High,Medium,High
29.47,2.26,36.39,89.24,50.93,60.31,Peaty,High,Medium,High
12.99,1.78,23.83,72.82,49.51,72.43,Loamy,High,Medium,High
15.59,2.35,27.87,85.33,57.17,75.29,Peaty,High,High,High
20.77,0.74,29.83,59.68,48.62,64.98,Loamy,Medium,Medium,High
22.57,0.76,32.6,59.06,65.35,50.82,Loamy,Medium,High,Medium
64.54,1.02,35.25,63.58,54.53,63.68,Peaty,Medium,Medium,High
44.29,2.05,26.69,58.9,57.25,65.98,Silty,Medium,High,High
41.64,1.14,32.21,70.56,41.03,70.9,Loamy,High,Medium,High
13.03,1.35,21.31,73.88,47.95,65.18,Loamy,High,Medium,High
65.21,1.7,38.52,66.43,64.75,75.9,Peaty,High,High,High
55.6,2.94,26.43,96.11,54.88,88.67,Loamy,High,Medium,High
9.74,0.54,34.05,57.96,39.3,44.59,Loamy,Medium,Medium,Medium
54.55,2.45,18.45,86.61,62.76,83.61,Peaty,High,High,High
43.05,2.51,22.51,93.8,54.92,83.46,Peaty,High,Medium,High
10.72,2.9,28.72,89.18,61.41,95.0,Clay,High,High,High
37.08,3.3,37.32,83.48,70.67,87.68,Silty,High,High,High
38.93,0.56,29.6,57.01,61.54,54.58,Silty,Medium,High,Medium
16.6,0.96,38.46,52.67,50.22,62.89,Loamy,Medium,Medium,High
71.2,3.16,28.64,88.33,75.0,81.38,Silty,High,High,High
64.5,1.88,28.79,76.72,44.9,84.8,Loamy,High,Medium,High
51.83,2.19,20.63,82.31,60.75,78.24,Clay,High,High,High
37.36,2.49,35.66,83.39,60.42,77.89,Peaty,High,High,High
33.82,2.54,23.43,82.14,54.45,76.15,Peaty,High,Medium,High
50.57,3.3,37.79,98.84,75.0,90.9,Peaty,High,High,High
43.18,3.49,38.04,79.92,66.92,84.36,Silty,High,High,High
9.36,2.66,38.75,77.47,47.78,82.68,Clay,High,Medium,High
40.88,1.36,29.45,61.66,38.16,59.43,Silty,Medium,Medium,High
61.45,3.14,32.9,98.53,72.41,84.05,Silty,High,High,High
37.15,0.65,35.13,63.49,39.26,63.76,Clay,Medium,Medium,High
8.64,1.19,20.88,63.49,53.65,60.62,Clay,Medium,Medium,High
60.04,3.19,31.22,93.65,72.04,89.97,Clay,High,High,High
19.1,1.27,18.75,66.56,47.32,56.85,Clay,High,Medium,High
23.1,1.16,28.95,62.15,49.35,60.52,Peaty,Medium,Medium,High
16.53,0.91,21.41,36.2,45.41,42.97,Sandy,Medium,Medium,Medium
28.12,3.08,22.02,75.94,48.19,70.49,Sandy,High,Medium,High
57.97,2.0,26.03,81.89,61.21,72.55,Clay,High,High,High
41.36,2.52,27.51,74.95,48.24,74.29,Sandy,High,Medium,High
19.34,1.22,31.71,52.59,48.61,62.49,Sandy,Medium,Medium,High
66.45,2.77,19.64,96.65,70.08,90.1,Clay,High,High,High
66.57,2.78,29.08,87.37,64.0,85.87,Sandy,High,High,High
65.94,1.44,22.02,69.33,56.66,62.96,Silty,High,High,High
21.72,1.73,30.63,69.72,49.5,69.22,Loamy,High,Medium,High
36.59,1.13,32.02,69.55,52.78,74.98,Loamy,High,Medium,High
73.95,3.43,30.25,100.0,72.08,95.0,Clay,High,High,High
59.04,2.44,34.24,77.22,62.41,88.16,Peaty,High,High,High
6.9,3.3,25.38,95.71,56.97,84.33,Clay,High,High,High
9.56,1.41,34.83,67.57,48.67,61.83,Peaty,High,Medium,High
37.48,2.85,27.52,97.73,54.58,86.35,Loamy,High,Medium,High
68.65,2.8,28.65,100.0,54.94,85.66,Clay,High,Medium,High
42.71,2.57,32.26,77.01,54.72,59.03,Silty,High,Medium,High
39.85,3.4,18.4,93.23,64.93,83.97,Sandy,High,High,High
12.38,1.68,32.39,71.98,55.32,71.85,Peaty,High,High,High
50.97,0.89,31.61,54.67,38.79,55.32,Sandy,Medium,Medium,High
62.55,2.52,24.82,82.14,55.65,70.91,Sandy,High,High,High
31.63,2.69,19.89,91.26,65.77,79.13,Clay,High,High,High
59.29,2.23,20.0,69.07,51.26,56.02,Sandy,High,Medium,High
72.51,1.12,38.31,60.6,44.79,61.2,Silty,Medium,Medium,High
19.26,2.01,33.16,59.9,71.27,56.22,Sandy,Medium,High,High
41.63,1.44,20.8,72.42,51.91,63.07,Clay,High,Medium,High
25.1,1.78,25.85,73.92,41.27,54.02,Silty,High,Medium,Medium
60.5,2.44,31.03,94.6,66.05,73.67,Loamy,High,High,High
45.43,2.74,36.38,68.13,61.7,70.24,Sandy,High,High,High
49.42,1.2,18.96,68.33,39.57,70.34,Clay,High,Medium,High
60.85,1.72,23.21,78.21,57.84,69.0,Loamy,High,High,High
32.72,1.31,37.57,62.48,63.84,58.24,Loamy,Medium,High,High
69.06,1.1,18.2,74.0,49.45,69.27,Peaty,High,Medium,High
42.31,2.85,22.43,76.98,42.23,77.97,Silty,High,Medium,High
16.06,3.23,39.1,85.2,65.9,62.76,Sandy,High,High,High
53.71,1.61,31.49,78.51,64.44,80.78,Clay,High,High,High
60.53,2.75,23.76,91.01,58.81,84.28,Peaty,High,High,High
27.17,3.19,19.47,87.15,53.54,83.78,Silty,High,Medium,High
65.0,3.04,18.62,96.55,75.0,85.39,Peaty,High,High,High
68.43,1.05,23.38,50.98,44.66,70.59,Silty,Medium,Medium,High
24.38,3.37,37.39,85.41,56.35,80.68,Silty,High,High,High
73.85,1.63,27.15,67.7,55.25,48.04,Sandy,High,High,Medium
14.85,1.52,33.85,52.2,54.95,52.66,Silty,Medium,Medium,Medium
19.14,0.69,38.2,59.45,53.8,58.68,Peaty,Medium,Medium,High
17.9,1.96,26.98,70.31,31.56,64.55,Silty,High,Medium,High
67.58,0.83,22.21,72.74,41.82,54.08,Sandy,High,Medium,Medium
50.8,1.25,29.38,64.5,59.67,51.88,Sandy,Medium,High,Medium
15.65,1.45,37.98,59.35,56.85,63.97,Peaty,Medium,High,High
35.82,2.93,35.7,85.01,56.81,85.61,Loamy,High,High,High
48.07,3.13,19.45,96.12,73.77,86.87,Loamy,High,High,High
10.84,1.41,33.24,51.77,56.62,60.6,Silty,Medium,High,High
66.77,3.08,30.58,100.0,68.46,94.61,Clay,High,High,High
61.25,3.07,37.96,78.37,74.96,83.62,Silty,High,High,High
40.36,2.79,20.69,94.55,75.0,73.67,Peaty,High,High,High
72.7,0.94,29.75,68.53,46.29,74.25,Peaty,High,Medium,High
34.24,2.57,37.35,85.91,68.31,93.94,Peaty,High,High,High
73.89,3.34,27.02,96.18,75.0,95.0,Peaty,High,High,High
51.75,2.55,28.6,88.93,67.97,85.73,Peaty,High,High,High
49.43,1.49,19.55,72.77,42.5,48.1,Sandy,High,Medium,Medium
16.62,2.0,24.12,71.15,55.96,56.97,Loamy,High,High,High
66.73,2.44,25.14,84.01,73.54,77.29,Peaty,High,High,High
34.92,2.03,38.79,84.08,54.66,77.02,Clay,High,Medium,High
16.36,0.86,24.22,57.1,47.25,57.15,Clay,Medium,Medium,High
5.88,1.44,28.14,67.01,49.57,65.28,Clay,High,Medium,High
44.18,2.91,32.77,100.0,62.69,78.56,Clay,High,High,High
41.92,3.08,21.57,80.66,61.08,89.54,Sandy,High,High,High
55.35,0.91,28.7,78.96,53.28,75.64,Clay,High,Medium,High
67.32,3.36,34.25,98.58,75.0,84.8,Peaty,High,High,High
10.56,1.49,37.07,49.27,59.88,45.41,Silty,Medium,High,Medium
56.2,2.49,31.78,95.31,55.8,84.21,Clay,High,High,High
18.12,2.76,32.72,75.11,58.5,81.58,Sandy,High,High,High
65.07,2.94,20.78,88.2,60.22,79.6,Sandy,High,High,High
62.33,3.34,38.81,98.79,75.0,95.0,Clay,High,High,High
42.86,1.44,20.92,65.29,48.52,56.72,Silty,High,Medium,High
54.72,3.08,35.04,86.71,63.1,93.35,Clay,High,High,High
27.0,0.9,23.83,52.73,54.9,56.58,Sandy,Medium,Medium,High
37.98,2.62,38.54,93.54,75.0,85.66,Loamy,High,High,High
62.51,2.73,33.84,80.2,71.46,89.58,Peaty,High,High,High
37.15,2.53,34.58,71.86,64.17,61.61,Sandy,High,High,High
30.05,1.26,22.82,66.11,52.39,79.39,Clay,High,Medium,High
39.59,3.12,27.75,84.56,72.63,74.22,Peaty,High,High,High
62.98,1.01,31.59,59.46,37.11,69.01,Clay,Medium,Medium,High
28.46,0.66,34.94,52.8,51.31,58.1,Clay,Medium,Medium,High
17.16,2.65,20.29,85.1,52.62,76.07,Loamy,High,Medium,High
54.84,1.93,39.17,83.7,63.76,81.78,Peaty,High,High,High
62.82,3.05,37.58,85.48,75.0,85.21,Peaty,High,High,High
12.04,1.65,23.95,72.26,51.2,61.56,Loamy,High,Medium,High
21.79,1.0,36.1,50.67,44.8,44.7,Sandy,Medium,Medium,Medium
14.94,3.01,29.4,100.0,52.52,92.4,Clay,High,Medium,High
29.36,2.15,28.16,74.21,53.5,69.51,Silty,High,Medium,High
36.52,1.07,24.92,73.13,56.94,67.94,Clay,High,High,High
57.42,2.66,30.78,98.81,60.23,92.64,Clay,High,High,High
50.58,2.03,34.06,64.14,41.39,83.06,Sandy,Medium,Medium,High
48.46,2.31,27.04,85.41,75.0,93.44,Clay,High,High,High
29.67,1.88,31.84,81.96,60.19,73.72,Loamy,High,High,High
63.9,2.99,33.38,84.55,67.89,91.33,Loamy,High,High,High
37.99,2.99,33.64,86.08,75.0,81.29,Peaty,High,High,High
73.54,2.63,19.14,79.62,60.93,83.69,Silty,High,High,High
49.39,0.82,36.91,66.85,66.25,69.48,Clay,High,High,High
13.84,3.02,28.08,89.92,73.17,79.13,Clay,High,High,High
52.33,2.51,23.77,82.88,47.09,78.38,Sandy,High,Medium,High
27.76,2.59,23.32,86.26,62.79,85.27,Loamy,High,High,High
53.04,1.59,28.63,57.7,67.39,56.68,Silty,Medium,High,High
9.87,3.14,37.51,77.4,56.86,84.63,Peaty,High,High,High
17.24,2.68,26.32,85.54,51.59,77.75,Loamy,High,Medium,High
64.9,0.84,34.49,59.45,48.22,63.14,Peaty,Medium,Medium,High
20.9,1.72,20.13,59.78,54.0,51.74,Sandy,Medium,Medium,Medium
63.59,3.16,28.47,94.99,66.95,70.9,Sandy,High,High,High
24.55,0.64,39.82,62.39,36.96,53.92,Clay,Medium,Medium,Medium
50.0,3.38,34.95,100.0,70.37,80.67,Silty,High,High,High
53.59,2.54,22.63,87.06,58.79,82.39,Peaty,High,High,High
40.89,2.39,29.03,81.36,60.45,81.41,Loamy,High,High,High
