Nitrogen,nitrogen_status,Phosphorus,phosphorus_status,Potassium,potassium_status,temperature,ec,moisture,pH_Value,Rainfall,previous_crop,soil_type,Variety
69.07476574,medium,53.95440209,high,88.0676247,high,17.26183374,1.020545187,72.94165224,4.631301285,302.842639,Wheat,Clay,Soft Red
107.3293521,high,70.1021339,high,32.08106653,low,21.84611566,2.015831895,99.36195449,4.76165835,94.69384657,Tomato,Clay,Beefsteak
130.6346241,high,67.20453317,high,28.29425168,low,33.24689515,1.908110599,81.50683564,6.566007059,83.56368465,Sugarcane,Clay,Co 86032
15.16930122,low,87.49318129,high,14.33667897,low,14.39628887,0.646890486,59.27446469,6.296296655,31.50883582,Sugarcane,Silt,Co 0238
21.88196508,low,89.26971211,high,38.83388532,low,16.77321764,0.437570066,51.19158385,8.268274388,295.1934819,Maize,Sandy,Sweet
19.66030411,low,6.616577866,low,62.18960745,medium,34.06779085,0.783454393,42.67288356,6.442318401,218.1220767,Tomato,Clay,Beefsteak
30.31198595,low,36.28792089,medium,69.74944172,medium,33.44455101,0.786340749,48.14021863,6.067488809,368.5237415,Potato,Saline,Yukon Gold
33.71076415,low,42.9098339,medium,71.62996626,medium,12.60735361,0.710724978,68.96606127,5.640770086,183.1601316,Maize,Clay,Sweet
70.29520498,medium,56.44055353,high,86.62514467,high,16.4372026,1.419084774,89.18331637,6.447732038,68.94076393,Wheat,Sandy,Hard Red
65.33052607,medium,22.7689944,medium,91.22263782,high,34.77916626,1.426179674,81.8249033,8.233027269,381.8679809,Maize,Saline,Flint
33.33689111,low,7.520524234,low,58.50459051,medium,42.77376426,0.354244409,35.10845995,7.392240525,186.0245495,Maize,Peaty,Sweet
87.62082653,high,78.7476511,high,36.76699285,low,34.95071367,2.403167963,39.88932392,8.382784595,236.7498426,Rice,Silt,Basmati
58.21719164,medium,47.25363471,medium,27.93831645,low,18.97561429,1.272228063,80.03069241,7.628455249,259.6543233,Sugarcane,Loamy,Co 99004
147.3047161,high,31.62185843,medium,45.35490799,medium,31.99369596,1.571794352,97.42447655,7.724092351,399.4046025,Maize,Peaty,Dent
33.06816451,low,14.37027643,low,26.59182085,low,41.51252433,0.675742055,74.63635779,6.616894188,376.2437089,Tomato,Clay,Roma
131.4819067,high,13.30434729,low,29.34446792,low,32.48803336,2.195496022,57.73699429,5.960560002,223.8801716,Potato,Clay,Russet
19.4984811,low,68.83578941,high,25.20796778,low,40.94069036,0.544152172,41.90556055,7.540587953,282.8473265,Wheat,Loamy,Soft Red
44.58361743,medium,74.75799783,high,39.33064366,low,35.53991032,1.276372881,45.47157749,6.604554018,198.9809501,Rice,Silt,Basmati
