Nitrogen,nitrogen_status,Phosphorus,phosphorus_status,Potassium,potassium_status,temperature,ec,moisture,pH_Value,Rainfall,previous_crop,soil_type,Variety
69.07476574,medium,53.95440209,high,88.0676247,high,17.26183374,2.109576964,72.94165224,4.631301285,302.842639,Onion,Clay,Soft Red
107.3293521,high,70.1021339,high,32.08106653,low,21.84611566,1.643763116,99.36195449,4.76165835,94.69384657,Groundnut,Clay,Beefsteak
130.6346241,high,67.20453317,high,28.29425168,low,33.24689515,0.986025513,81.50683564,6.566007059,83.56368465,Groundnut,Clay,Co 86032
15.16930122,low,87.49318129,high,14.33667897,low,14.39628887,0.573337315,59.27446469,6.296296655,31.50883582,Wheat,Silt,Co 0238
21.88196508,low,89.26971211,high,38.83388532,low,16.77321764,0.279675624,51.19158385,8.268274388,295.1934819,Cotton,Sandy,Sweet
19.66030411,low,6.616577866,low,62.18960745,medium,34.06779085,1.097506799,42.67288356,6.442318401,218.1220767,Cotton,Clay,Beefsteak
30.31198595,low,36.28792089,medium,69.74944172,medium,33.44455101,1.377590182,48.14021863,6.067488809,368.5237415,Garlic,Saline,Yukon Gold
33.71076415,low,42.9098339,medium,71.62996626,medium,12.60735361,2.18071066,68.96606127,5.640770086,183.1601316,Chili,Clay,Sweet
70.29520498,medium,56.44055353,high,86.62514467,high,16.4372026,0.694270815,89.18331637,6.447732038,68.94076393,Bajra,Sandy,Hard Red
65.33052607,medium,22.7689944,medium,91.22263782,high,34.77916626,0.817076853,81.8249033,8.233027269,381.8679809,Chili,Saline,Flint
33.33689111,low,7.520524234,low,58.50459051,medium,42.77376426,1.437431534,35.10845995,7.392240525,186.0245495,Onion,Peaty,Sweet
87.62082653,high,78.7476511,high,36.76699285,low,34.95071367,1.419766433,39.88932392,8.382784595,236.7498426,Moong,Silt,Basmati
58.21719164,medium,47.25363471,medium,27.93831645,low,18.97561429,1.174157006,80.03069241,7.628455249,259.6543233,Garlic,Loamy,Co 99004
147.3047161,high,31.62185843,medium,45.35490799,medium,31.99369596,1.270874276,97.42447655,7.724092351,399.4046025,Moong,Peaty,Dent
33.06816451,low,14.37027643,low,26.59182085,low,41.51252433,1.424190387,74.63635779,6.616894188,376.2437089,Garlic,Clay,Roma
131.4819067,high,13.30434729,low,29.34446792,low,32.48803336,1.54929764,57.73699429,5.960560002,223.8801716,Groundnut,Clay,Russet
19.4984811,low,68.83578941,high,25.20796778,low,40.94069036,0.765922215,41.90556055,7.540587953,282.8473265,Jeera,Loamy,Soft Red
44.58361743,medium,74.75799783,high,39.33064366,low,35.53991032,1.488039823,45.47157749,6.604554018,198.9809501,Chili,Silt,Basmati
98.45534326,high,16.76409419,low,77.33936617,medium,35.62299964,0.651464121,99.64644697,5.216856542,281.0249686,Moong,Peaty,Dent
55.6933475,medium,68.56243631,high,26.10959524,low,22.07755413,1.35364808,41.30012523,5.822878282,149.8240252,Garlic,Saline,Jasmine
47.43463701,medium,78.77669233,high,46.95975657,medium,16.64527094,0.71969163,52.60788435,6.411790714,323.2122749,Chili,Sandy,Roma
108.4825051,high,18.63573901,low,97.59391024,high,15.32352075,1.060775118,70.38773585,6.952463628,134.2842382,Moong,Silt,Roma
28.66416454,low,30.29451881,medium,51.04670446,medium,34.09037978,1.936955274,34.60395394,8.213314498,123.512476,Cotton,Clay,Roma
83.62867427,high,41.55579623,medium,66.41336979,medium,12.74221016,1.241120112,79.86543474,6.01697128,149.9645577,Moong,Peaty,Flint
70.72668405,medium,75.67219253,high,36.6429424,low,44.95747176,1.837160224,53.48662744,5.718630778,208.5951059,Onion,Clay,Co 99004
29.48725595,low,18.52128675,low,77.89910244,medium,35.05483739,0.550876711,65.56687614,5.860076389,334.3069765,Cotton,Silt,Cherry
